plot,counter,date,individual,treatment,species,climate,height,capsule size,seedcapsule,seed_count,status,viable,sample,status_paperbag,organzabag_size,first seedcap,herbivory,comment,entered,labmeeting,,
1_1,Garp,04.09.2019,S2,supplement,Dia_car,ambient,13.5,1.1,2,51,ripe_capsule,28,single,open,,,0,,4067,,,
1_1,Garp,04.09.2019,S2,supplement,Dia_car,ambient,8,0.7,1,42,unripe,0,single,open,,,0,,4066,,,
1_1,Garp,05.08.2019,S2,supplement,Dia_car,ambient,12,0.9,2,49,ripe_capsule,11,single,open,,,0,,4331,,,
1_1,Garp,05.08.2019,S2,supplement,Dia_car,ambient,9.5,,1,58,ripe_capsule,12,single,open,,,0,,4329,,,
1_1,Martin,07.11.2019,S2,supplement,Dia_car,ambient,10,,E3_1,0,bud,0,group,bud,,,0,,1437,,,
1_1,Martin,07.11.2019,S2,supplement,Dia_car,ambient,10,,E1_1,0,bud,0,group,bud,,,0,dry,1438,,,
1_1,Martin,07.11.2019,S2,supplement,Dia_car,ambient,10,1.1,1,47,strange,13,group,open,,,0,strange,1436,,,
1_1,Martin,07.11.2019,S2,supplement,Dia_car,ambient,10,,E2_1,0,unripe,0,group,unripe,,,1,herbivory,1439,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,15,1.5,13,64,ripe_capsule,42,,open,,,0,,,,,
1_1,Julia,08.08.2019,S2,supplement,Dia_car,ambient,16.5,0.8,1,74,open,6,single,open,,,0,,2040,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,4,1.4,8,66,dry,2,,open,,,0,dry 54 unripe smaller,,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,10,1.1,10,47,open,5,,open,,,0,open,,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,9,1.2,3,61,open,17,,open,,,0,open,,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,16,1.2,4,19,open,1,,open,,,0,open,,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,4,1.3,6,38,open,9,,open,,,0,open,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,23,1.5,8,53,ripe_capsule,32,,open,,,0,,,,,
1_1,Andreas,09.08.2019,C2,control,Dia_car,ambient,20,1.5,9,63,ripe_capsule,51,,open,,,0,,,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,12,1,5,32,unripe,8,,open,,,0,20 unripe smaller,,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,13,1.2,1,53,unripe,5,,open,,,0,open dry,,,,
1_1,Andreas,09.08.2019,S2,supplement,Dia_car,ambient,12,1.2,9,57,unripe,19,,open,,,0,,,,,
1_1,Julia,11.10.2019,S2,supplement,Dia_car,ambient,11,0.9,9,8,herbivory,0,single,ripe,,,1,herbivory,3000,,,
1_1,Julia,11.10.2019,S2,supplement,Dia_car,ambient,13,1,1,58,open,2,single,open,,,0,,3034,,,
5_5,Julia,23.08.2019,C1,control,Dia_car,ambient,12,1.2,2,76,ripe_capsule,37,single,open,,,0,,2156,,,
7_2,Julia,10.10.2019,C1,control,Dia_car,future,11,0.5,1,11,ripe_capsule,0,single,open,,,0,,2814,,,
7_2,Julia,10.10.2019,C1,control,Dia_car,future,11,0.5,1,11,ripe_capsule,0,single,open,,,0,,2900,,,
1_1,Julia,11.10.2019,S2,supplement,Dia_car,ambient,10.5,1.1,5,44,unripe,15,single,open,,,0,brown,2396,,,
1_1,Julia,11.10.2019,S2,supplement,Dia_car,ambient,13,,4,0,unripe,0,single,unripe,,,1,Herbivory,2394,,,
1_1,Julia,11.10.2019,S2,supplement,Dia_car,ambient,13,,3,0,unripe,0,single,unripe,,,1,Herbivory,2395,,,
1_1,Valentin,11.10.2019,S2,supplement,Dia_car,ambient,11,0.9,6,0,unripe,0,single,unripe,,,1,Herbivory,2365,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,1,2,,herbivory,,single,open,,,1,Herbivory,4625,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,,0.9,5,61,ripe_capsule,16,single,open,,,0,,4628,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,10,0.9,6,36,ripe_capsule,3,single,open,,,0,,4629,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,1,1,54,ripe_capsule,20,single,open,,,0,,4624,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,1,4,44,ripe_capsule,12,single,open,,,0,,4627,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,1,7,69,ripe_capsule,23,single,open,,,0,,4630,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,1.2,9,48,ripe_capsule,19,single,open,,,0,,3371,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,0.4,11,49,unripe,0,single,open,,,0,,3373,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,0.4,12,55,unripe,0,single,open,,,0,,3374,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,0.6,10,60,unripe,15,single,open,,,0,,3372,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,0.7,8,114,unripe,0,single,open,,,0,,3370,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,10,0.7,7,32,unripe,9,single,open,,,0,,3376,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,0.8,3,25,unripe,0,single,open,,,0,,4626,,,
1_1,Garp,18.09.2019,S2,supplement,Dia_car,ambient,9,0.9,13,0,unripe,0,single,open,,,0,,3375,,,
1_1,Julia,26.08.2019,C2,control,Dia_car,ambient,20.5,1.3,9,66,ripe_capsule,52,single,open,,,0,,2940,,,
1_1,Julia,26.08.2019,C2,control,Dia_car,ambient,18,1.5,10,62,ripe_capsule,45,single,open,,,0,,2927,,,
1_1,Garp,24.09.2019,S2,supplement,Dia_car,ambient,22,,3,0,herbiv,0,single,herbiv,,,1,herbivory,3234,,,
1_1,Garp,24.09.2019,S2,supplement,Dia_car,ambient,9.5,,1,0,herbiv,0,single,herbiv,,,1,herbivory,3239,,,
1_1,Garp,24.09.2019,S2,supplement,Dia_car,ambient,10,0.9,2,52,ripe_capsule,18,single,open,,,0,,3237,,,
1_1,Christian,26.07.2019,S2,supplement,Dia_car,ambient,14,0.9,1,70,open,17,single,open,,,0,,456,,,
1_1,Christian,26.07.2019,S2,supplement,Dia_car,ambient,16,1.1,2,69,open,25,single,open,,,0,,457,,,
1_1,Garp,26.07.2019,S2,supplement,Dia_car,ambient,16,,2,65,ripe_capsule,25,single,open,,,0,,1800,,,
1_1,Garp,26.07.2019,S2,supplement,Dia_car,ambient,14,,1,67,ripe_capsule,19,single,open,,,0,,1802,,,
1_1,Julia,26.08.2019,S2,supplement,Dia_car,ambient,18,0.9,5,52,open,0,single,open,,,0,dry,2916,,,
1_1,Julia,26.08.2019,S2,supplement,Dia_car,ambient,5,1,2,68,open,17,single,open,,,0,,2925,,,
1_1,Julia,26.08.2019,S2,supplement,Dia_car,ambient,11,1,7,74,open,17,single,open,,,0,,2968,,,
1_1,Julia,26.08.2019,S2,supplement,Dia_car,ambient,11,1.1,3,61,open,20,single,open,,,0,,2915,,,
1_1,Julia,26.08.2019,S2,supplement,Dia_car,ambient,6,1.1,4,48,open,11,single,open,,,0,,2919,,,
1_1,Julia,26.08.2019,S2,supplement,Dia_car,ambient,9.5,1.2,1,56,open,10,single,open,,,0,,2930,,,
10_2,Julia,17.10.2019,C2,control,Dia_car,ambient,9,1.2,1,70,ripe_capsule,42,single,open,,,0,,2752,,,
1_1,Martin,27.08.2019,S2,supplement,Dia_car,ambient,12,0.4,14,41,dry,0,single,open,,,0,,949,,,
1_1,Martin,27.08.2019,S2,supplement,Dia_car,ambient,8,0.5,12,37,dry,4,single,open,,,0,yellow/brownish seeds,957,,,
1_1,Martin,27.08.2019,S2,supplement,Dia_car,ambient,14,0.6,1,46,dry,0,single,dry,,,0,color,825,,,
1_1,Martin,27.08.2019,S2,supplement,Dia_car,ambient,12,0.7,15,40,dry,1,single,open,,,0,,950,,,
1_1,Martin,27.08.2019,S2,supplement,Dia_car,ambient,13,,16,0,dry,0,single,dry,,,0,"color, nothing developed",951,,,
1_1,Martin,27.08.2019,S2,supplement,Dia_car,ambient,13,,17,0,dry,0,single,dry,,,0,probably stigma,952,,,
1_1,Martin,27.08.2019,S2,supplement,Dia_car,ambient,14,,5,,dry,,single,dry,,,0,bud,1156,,,
4_4,Martin,28.08.2019,C1,control,Dia_car,future,10,1.1,5,63,ripe_capsule,34,single,open,,,0,color,793,,,
